Column1;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;109,0Hz;109,4Hz
Period               :;9,175ms;9,137ms
PK-PK                :;704,0mV;144,0mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,500000mV;0,500000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
1;96;16
2;96;16
3;96;16
4;96;16
5;96;16
6;88;16
7;88;16
8;88;16
9;88;16
10;88;16
11;80;16
12;80;16
13;80;16
14;72;16
15;72;16
16;72;16
17;72;16
18;72;8
19;64;16
20;56;16
21;64;24
22;56;16
23;56;16
24;72;16
25;48;16
26;48;16
27;48;16
28;48;16
29;40;16
30;40;16
31;40;8
32;32;8
33;32;8
34;32;0
35;32;0
36;16;0
37;24;0
38;24;0
39;16;0
40;16;0
41;8;-8
42;16;-8
43;0;-16
44;8;-8
45;8;-8
46;0;-8
47;0;-8
48;0;-8
49;0;-16
50;-8;-8
51;-8;0
52;-8;0
53;-8;0
54;-16;8
55;-16;16
56;-16;8
57;-24;8
58;-24;16
59;-24;24
60;-32;24
61;-32;24
62;-32;24
63;-32;24
64;-48;24
65;-32;24
66;-40;32
67;-40;32
68;-48;24
69;-48;24
70;-48;24
71;-48;24
72;-48;32
73;-56;24
74;-56;24
75;-64;24
76;-56;24
77;-64;24
78;-64;24
79;-72;24
80;-72;24
81;-72;24
82;-80;16
83;-72;16
84;-80;24
85;-72;16
86;-88;16
87;-88;24
88;-88;16
89;-88;16
90;-96;24
91;-88;16
92;-96;16
93;-96;16
94;-104;16
95;-104;16
96;-104;16
97;-112;16
98;-104;16
99;-112;16
100;-112;16
101;-112;16
102;-112;16
103;-120;16
104;-120;16
105;-120;16
106;-144;16
107;-128;16
108;-128;8
109;-128;16
110;-136;8
111;-136;8
112;-136;8
113;-144;8
114;-144;8
115;-136;0
116;-144;0
117;-152;0
118;-136;0
119;-152;-8
120;-152;0
121;-160;-8
122;-152;-8
123;-160;-8
124;-160;-8
125;-168;-8
126;-168;-8
127;-168;-16
128;-176;-8
129;-168;-8
130;-176;-8
131;-176;-8
132;-176;-8
133;-184;0
134;-176;0
135;-184;0
136;-184;0
137;-184;8
138;-184;8
139;-192;16
140;-192;16
141;-192;16
142;-192;16
143;-192;24
144;-200;24
145;-200;24
146;-200;24
147;-208;24
148;-208;24
149;-208;24
150;-208;24
151;-216;24
152;-208;24
153;-216;24
154;-216;24
155;-216;24
156;-216;24
157;-224;24
158;-224;32
159;-224;24
160;-232;24
161;-224;24
162;-232;24
163;-232;24
164;-232;16
165;-232;24
166;-232;24
167;-232;16
168;-240;24
169;-240;16
170;-240;16
171;-248;16
172;-240;16
173;-248;16
174;-240;16
175;-248;16
176;-248;16
177;-248;24
178;-256;16
179;-248;16
180;-256;16
181;-240;72
182;-264;72
183;-264;72
184;-264;64
185;-264;64
186;-264;64
187;-264;64
188;-272;64
189;-272;64
190;-272;56
191;-272;56
192;-272;56
193;-280;48
194;-272;48
195;-272;48
196;-280;48
197;-280;48
198;-280;48
199;-280;48
200;-288;40
201;-288;40
202;-288;48
203;-280;40
204;-280;40
205;-296;48
206;-288;48
207;-288;48
208;-288;48
209;-288;48
210;-296;56
211;-296;56
212;-296;56
213;-296;64
214;-296;64
215;-296;64
216;-296;72
217;-296;72
218;-304;72
219;-296;72
220;-304;72
221;-312;72
222;-304;80
223;-304;80
224;-304;80
225;-304;80
226;-304;80
227;-304;80
228;-296;80
229;-304;80
230;-312;80
231;-312;80
232;-312;80
233;-312;80
234;-312;80
235;-312;72
236;-312;80
237;-312;80
238;-312;80
239;-320;72
240;-320;72
241;-312;72
242;-320;80
243;-320;72
244;-312;72
245;-320;72
246;-320;72
247;-320;72
248;-320;64
249;-320;64
250;-320;72
251;-320;72
252;-320;72
253;-320;72
254;-328;64
255;-320;72
256;-328;72
257;-320;72
258;-320;72
259;-320;64
260;-320;72
261;-312;72
262;-320;72
263;-328;72
264;-320;64
265;-320;72
266;-320;64
267;-320;64
268;-320;64
269;-320;64
270;-304;64
271;-320;64
272;-320;64
273;-320;64
274;-320;64
275;-312;64
276;-312;56
277;-320;56
278;-320;48
279;-320;48
280;-320;48
281;-320;48
