 Column1 ;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;174,5Hz;174,7Hz
Period               :;5,731ms;5,725ms
PK-PK                :;428,0mV;140,0mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,250000mV;0,250000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
1;-164;0
2;-164;0
3;-164;4
4;-168;4
5;-172;8
6;-168;8
7;-168;8
8;-168;12
9;-168;12
10;-164;12
11;-168;12
12;-172;16
13;-172;12
14;-172;16
15;-176;12
16;-176;12
17;-176;12
18;-176;12
19;-180;12
20;-176;12
21;-180;12
22;-180;12
23;-180;12
24;-176;12
25;-184;8
26;-180;12
27;-184;4
28;-184;4
29;-184;4
30;-184;4
31;-180;4
32;-184;4
33;-184;4
34;-188;4
35;-184;4
36;-184;4
37;-184;4
38;-176;4
39;-188;4
40;-188;4
41;-188;4
42;-188;0
43;-188;4
44;-188;4
45;-192;4
46;-188;0
47;-188;4
48;-188;0
49;-188;0
50;-188;0
51;-188;4
52;-192;4
53;-188;0
54;-188;4
55;-188;4
56;-184;4
57;-188;0
58;-188;0
59;-188;0
60;-184;0
61;-184;0
62;-184;-4
63;-184;-4
64;-180;-4
65;-184;-8
66;-188;-8
67;-184;-12
68;-184;-12
69;-180;-16
70;-180;-16
71;-176;-20
72;-180;-20
73;-168;-24
74;-180;-20
75;-176;-20
76;-176;-24
77;-176;-24
78;-172;-24
79;-172;-20
80;-164;-20
81;-172;-20
82;-172;-20
83;-172;-16
84;-168;-16
85;-168;-12
86;-168;-8
87;-168;-8
88;-168;-8
89;-164;-4
90;-164;0
91;-164;4
92;-172;4
93;-160;8
94;-160;8
95;-160;8
96;-156;12
97;-156;12
98;-156;16
99;-156;12
100;-156;16
101;-152;16
102;-152;16
103;-152;16
104;-148;16
105;-144;12
106;-144;12
107;-144;16
108;-144;12
109;-140;12
110;-140;12
111;-136;8
112;-140;8
113;-140;8
114;-136;8
115;-132;8
116;-132;8
117;-132;8
118;-128;8
119;-128;8
120;-116;8
121;-124;8
122;-124;8
123;-120;8
124;-120;52
125;-116;52
126;-116;52
127;-120;52
128;-112;48
129;-112;48
130;-108;48
131;-108;44
132;-104;44
133;-104;40
134;-96;40
135;-100;40
136;-96;36
137;-96;32
138;-96;32
139;-92;28
140;-92;28
141;-88;28
142;-88;28
143;-84;28
144;-84;24
145;-84;24
146;-84;24
147;-80;24
148;-76;24
149;-72;24
150;-72;24
151;-68;28
152;-68;32
153;-64;32
154;-60;36
155;-84;36
156;-60;36
157;-60;40
158;-56;44
159;-52;48
160;-56;48
161;-44;52
162;-56;52
163;-44;52
164;-44;56
165;-40;56
166;-40;56
167;-32;60
168;-36;60
169;-32;60
170;-32;60
171;-28;60
172;-28;60
173;-24;60
174;-20;60
175;-20;60
176;-16;56
177;-12;60
178;-16;56
179;-12;56
180;-8;56
181;-8;56
182;-4;56
183;-4;52
184;0;56
185;4;52
186;4;52
187;4;52
188;8;52
189;8;48
190;12;52
191;16;52
192;16;52
193;20;48
194;20;52
195;36;48
196;24;48
197;28;52
198;28;48
199;32;48
200;36;48
201;36;48
202;36;48
203;40;48
204;40;48
205;40;48
206;44;48
207;48;48
208;52;48
209;52;48
210;56;48
211;52;48
212;56;44
213;60;48
214;64;48
215;64;48
216;60;48
217;68;48
218;68;48
219;72;44
220;72;48
221;76;44
222;76;44
223;68;44
224;80;44
225;84;44
226;84;36
227;88;36
228;92;36
229;92;32
230;92;32
231;96;28
232;96;28
233;100;28
234;100;24
235;104;24
236;104;24
237;128;24
238;108;24
239;112;24
240;108;20
241;116;24
242;120;24
243;120;28
244;120;28
245;120;28
246;124;32
247;124;32
248;128;36
249;124;40
250;132;40
251;132;48
252;136;48
253;136;48
254;136;52
255;140;52
256;140;56
257;140;56
258;140;56
259;144;60
260;148;60
261;148;60
262;148;60
263;152;60
264;152;60
265;152;60
266;156;60
267;156;56
268;160;56
269;160;56
270;152;56
271;164;56
272;164;56
273;164;52
274;164;56
275;168;52
276;168;56
277;164;52
278;168;52
279;172;52
280;172;52
281;172;52
282;176;52
283;176;52
284;176;48
285;180;52
286;180;48
287;180;52
288;180;48
289;184;48
290;184;48
291;188;48
292;184;48
293;188;52
294;188;48
295;188;48
296;192;48
297;188;48
298;196;48
299;192;48
300;188;48
301;192;48
302;192;48
303;192;48
304;196;48
305;208;48
306;192;44
307;196;48
308;200;44
309;196;44
310;196;40
311;196;44
312;196;40
313;200;40
314;200;36
315;200;36
316;200;32
317;192;28
318;200;28
319;204;24
320;200;28
321;200;24
322;200;24
323;200;20
324;196;20
325;204;24
326;200;20
327;204;24
328;204;24
329;204;28
330;200;32
331;200;32
332;200;-48
333;204;-48
334;204;-44
335;204;-44
336;200;-44
337;200;-40
338;200;-40
339;204;-40
340;200;-36
341;204;-36
342;204;-36
343;200;-36
344;200;-32
345;192;-32
346;200;-32
347;200;-32
348;204;-32
349;200;-32
350;200;-28
351;200;-28
352;208;-32
353;200;-28
354;196;-28
355;200;-28
356;196;-28
357;196;-28
358;192;-28
359;196;-28
360;192;-32
361;192;-28
362;192;-32
363;188;-32
364;192;-32
365;188;-32
366;192;-32
367;188;-32
368;188;-32
369;188;-32
370;184;-32
371;184;-36
372;184;-32
373;180;-36
374;184;-36
375;180;-36
376;180;-36
377;180;-32
378;176;-36
379;176;-36
380;172;-36
381;176;-36
382;172;-40
383;176;-36
384;172;-36
385;172;-36
386;168;-40
387;148;-36
388;168;-40
389;168;-36
390;164;-36
391;160;-36
392;164;-36
393;156;-40
394;164;-36
395;160;-40
396;156;-36
397;156;-40
398;152;-40
399;156;-36
400;152;-40
401;148;-36
402;144;-36
403;144;-36
404;140;-36
405;140;-40
406;136;-40
407;140;-40
408;136;-36
409;136;-36
410;132;-36
411;132;-40
412;132;-40
413;124;-40
414;128;-40
415;128;-40
416;124;-44
417;124;-44
418;120;-48
419;120;-48
420;120;-48
421;120;-52
422;116;-56
423;112;-56
424;112;-56
425;108;-56
426;108;-56
427;96;-60
428;104;-60
429;104;-60
430;100;-60
431;96;-60
432;96;-60
433;96;-56
434;88;-60
435;92;-56
436;88;-56
437;84;-52
438;84;-52
439;84;-52
440;80;-48
441;80;-44
442;76;-40
443;76;-40
444;72;-40
445;72;-36
446;72;-36
447;68;-32
448;72;-32
449;64;-32
450;60;-28
451;60;-28
452;56;-28
453;56;-28
454;52;-28
455;56;-28
456;48;-28
457;48;-28
458;44;-28
459;44;-28
460;44;-28
461;40;-28
462;56;-28
463;36;-28
464;32;-28
465;32;-32
466;28;-32
467;28;-32
468;24;-32
469;20;-32
470;20;-32
471;20;-32
472;16;-32
473;16;-32
474;12;-32
475;8;-36
476;12;-32
477;8;-36
478;4;-36
479;0;-36
480;0;-36
481;-8;-36
482;0;-36
483;-4;-36
484;-8;-36
485;-8;-36
486;-12;-36
487;-12;-36
488;-16;-36
489;-16;-36
490;-20;-40
491;-24;-36
492;-24;-40
493;-28;-36
494;-28;-36
495;-32;-40
496;-32;-40
497;-36;-40
498;-36;-36
499;-36;-36
500;-40;-36
501;-44;-36
502;-56;-40
503;-48;-40
504;-52;-40
505;-52;-40
506;-52;-40
507;-56;-40
508;-56;-40
509;-60;-44
510;-60;-44
511;-60;-44
512;-64;-48
513;-64;-48
514;-68;-48
515;-72;-52
516;-68;-56
517;-76;-56
518;-76;-56
519;-76;-56
520;-80;-56
521;-80;-60
522;-84;-60
523;-80;-60
524;-88;-60
525;-88;-60
526;-92;-60
527;-92;-60
528;-92;-60
529;-96;-60
530;-96;-56
531;-100;-52
532;-104;-52
533;-104;-48
534;-104;-48
535;-108;-44
536;-112;-40
537;-108;-40
538;-112;-36
539;-116;-36
540;-116;40
541;-116;40
542;-124;44
543;-120;44
544;-140;44
545;-120;44
546;-124;48
547;-128;44
548;-132;48
549;-136;44
550;-132;44
551;-140;44
552;-136;44
553;-136;44
554;-136;44
555;-140;44
556;-140;44
557;-140;44
558;-140;40
559;-144;40
560;-148;40
561;-148;40
562;-152;40
563;-148;40
564;-152;36
565;-152;36
566;-152;36
567;-156;36
568;-156;36
569;-156;36
570;-160;32
571;-160;36
572;-156;36
573;-160;36
574;-160;36
575;-164;36
576;-164;32
577;-172;32
578;-168;36
579;-168;32
580;-168;36
581;-168;36
582;-168;36
583;-168;36
584;-160;36
585;-172;36
586;-172;36
587;-176;32
588;-176;36
589;-180;32
590;-176;32
591;-176;32
592;-176;36
593;-180;32
594;-180;28
595;-180;28
596;-184;24
597;-180;24
598;-180;20
599;-184;20
600;-184;20
601;-180;16
602;-184;16
603;-184;12
604;-184;12
605;-188;12
606;-184;8
607;-184;12
608;-188;8
609;-188;8
610;-188;8
611;-188;8
612;-196;8
613;-184;12
614;-188;12
615;-188;12
616;-188;16
617;-188;20
618;-184;20
619;-196;24
620;-184;28
621;-188;28
622;-188;32
623;-188;36
624;-184;36
625;-188;40
626;-168;40
627;-188;40
628;-188;44
629;-188;44
630;-188;44
631;-180;44
632;-184;44
633;-184;44
634;-188;44
635;-184;44
636;-184;44
637;-184;44
638;-188;44
639;-180;44
640;-180;44
641;-184;44
642;-180;44
643;-180;40
644;-180;40
